ID,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado,Rol,Sexo,Edad
2016-0001,2016,1,4,avenida,piedra buena av.,8,-58.47533969,-34.68757022,moto,auto,conductor,M,19
2016-0002,2016,1,1,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,auto,autobus,conductor,M,70
2016-0003,2016,1,7,avenida,entre rios av.,1,-58.39040293,-34.63189362,moto,auto,conductor,M,30
2016-0005,2016,1,5,avenida,san juan av.,1,-58.38718297,-34.6224663,moto,autobus,conductor,M,29
2016-0008,2016,1,18,avenida,27 de febrero av.,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,M,30
2016-0009,2016,1,19,calle,nogoya,11,-58.50095869,-34.6082544,moto,auto,pasajero_acompañante,M,29
2016-0010,2016,1,15,gral paz,"paz, gral. av.",9,-58.50877521,-34.66977709,moto,auto,conductor,M,18
2016-0012,2016,2,1,avenida,belgrano av.,1,-58.38048577,-34.61303893,moto,de_carga,conductor,M,22
2016-0013,2016,2,11,avenida,entre rios av.,1,-58.39114932,-34.62477387,peaton,auto,peaton,M,16
2016-0015,2016,2,5,avenida,"scalabrini ortiz, raul av.",15,-58.4376002,-34.59912758,peaton,auto,peaton,F,16
2016-0016,2016,2,22,avenida,regimiento de patricios av.,4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,F,19
2016-0017,2016,2,16,avenida,"acosta, mariano av.",8,-58.44989671,-34.65970435,peaton,moto,peaton,M,59
2016-0019,2016,2,9,calle,"de la torre, lisandro",9,-58.50990884,-34.65468721,peaton,autobus,peaton,F,65
2016-0020,2016,2,16,calle,suipacha,1,-58.37952223,-34.60653282,peaton,auto,peaton,M,59
2016-0021,2016,2,23,avenida,directorio av.,7,-58.45157703,-34.63063795,auto,auto,conductor,M,34
2016-0022,2016,2,6,avenida,9 de julio av.,1,-58.38144696,-34.61079875,moto,auto,pasajero_acompañante,M,41
2016-0025,2016,2,4,gral paz,"paz, gral. av.",8,-58.46244952,-34.70524971,auto,auto,pasajero_acompañante,M,34
2016-0026,2016,2,7,calle,holmberg,12,-58.49216191,-34.54738649,auto,objeto fijo,conductor,M,30
2016-0027,2016,2,9,avenida,curapaligue av.,7,-58.44497874,-34.63852623,auto,auto,pasajero_acompañante,M,34
2016-0028,2016,3,10,avenida,viamonte,1,-58.38199706,-34.60028648,peaton,de_carga,peaton,M,50
2016-0029,2016,3,17,avenida,cabildo av.,12,-58.47378664,-34.54153077,peaton,autobus,peaton,M,38
2016-0031,2016,3,12,gral paz,"paz, gral. av.",8,-58.47064556,-34.69843756,moto,autobus,conductor,M,21
