IdHecho,Rol,Sexo,Edad
2016-0001,conductor,M,19
2016-0002,conductor,M,70
2016-0003,conductor,M,30
2016-0005,conductor,M,29
2016-0008,conductor,M,30
2016-0009,pasajero_acompañante,M,29
2016-0010,conductor,M,18
2016-0012,conductor,M,22
2016-0013,peaton,M,16
2016-0015,peaton,F,16
2016-0016,pasajero_acompañante,F,19
2016-0017,peaton,M,59
2016-0019,peaton,F,65
2016-0020,peaton,M,59
2016-0021,conductor,M,34
2016-0022,pasajero_acompañante,M,41
2016-0025,pasajero_acompañante,M,34
2016-0026,conductor,M,30
2016-0027,pasajero_acompañante,M,34
2016-0028,peaton,M,50
2016-0029,peaton,M,38
2016-0031,conductor,M,21
2016-0034,peaton,M,52
2016-0035,conductor,M,34
2016-0036,pasajero_acompañante,M,36
2016-0037,conductor,M,20
2016-0038,peaton,M,29
2016-0039,conductor,M,20
2016-0041,conductor,M,54
2016-0041,pasajero_acompañante,M,
2016-0043,peaton,F,56
2016-0044,conductor,M,24
2016-0047,peaton,M,41
2016-0048,peaton,F,
2016-0050,peaton,M,78
2016-0051,conductor,M,36
2016-0053,peaton,M,38
2016-0054,conductor,M,30
2016-0055,peaton,M,79
2016-0056,conductor,M,26
2016-0058,peaton,F,57
2016-0059,peaton,M,37
2016-0064,peaton,M,20
2016-0065,peaton,M,20
2016-0067,pasajero_acompañante,F,30
2016-0068,conductor,M,58
2016-0069,conductor,M,30
2016-0073,conductor,M,23
2016-0074,conductor,M,60
2016-0075,peaton,M,42
2016-0076,peaton,F,53
2016-0077,peaton,F,
2016-0078,conductor,M,30
2016-0079,conductor,F,51
2016-0081,conductor,M,40
2016-0082,peaton,M,87
2016-0083,peaton,F,76
2016-0084,peaton,M,57
2016-0085,conductor,M,
2016-0086,peaton,M,75
2016-0087,conductor,M,23
2016-0088,peaton,F,70
2016-0089,peaton,M,35
2016-0090,peaton,M,60
2016-0092,conductor,M,24
2016-0093,conductor,M,35
2016-0095,conductor,M,29
2016-0096,conductor,M,
2016-0097,peaton,M,80
2016-0098,conductor,F,43
2016-0099,conductor,M,45
2016-0100,conductor,M,57
2016-0102,conductor,M,29
2016-0104,conductor,M,21
2016-0105,peaton,M,19
2016-0106,peaton,M,38
2016-0107,conductor,M,21
2016-0109,conductor,F,53
2016-0111,conductor,M,27
2016-0112,conductor,M,24
2016-0113,peaton,F,60
2016-0114,ciclista,F,55
2016-0116,conductor,M,30
2016-0117,conductor,M,43
2016-0118,conductor,M,27
2016-0122,ciclista,M,49
2016-0123,conductor,F,58
2016-0124,peaton,M,67
2016-0125,conductor,M,30
2016-0126,conductor,M,37
2016-0126,pasajero_acompañante,M,60
2016-0127,peaton,M,50
2016-0128,peaton,F,81
2016-0130,conductor,M,29
2016-0131,peaton,M,35
2016-0132,pasajero_acompañante,M,30
2016-0133,conductor,M,41
2016-0134,conductor,M,25
2016-0137,conductor,M,30
2016-0138,ciclista,F,33
2016-0139,pasajero_acompañante,F,35
2016-0140,pasajero_acompañante,M,20
2016-0142,conductor,M,46
2016-0144,peaton,M,83
2016-0145,conductor,M,39
2016-0146,peaton,F,29
2016-0147,pasajero_acompañante,M,55
2016-0148,conductor,M,
2016-0150,pasajero_acompañante,M,41
2016-0152,conductor,M,42
2016-0153,peaton,F,83
2016-0154,conductor,M,38
2016-0155,peaton,F,29
2016-0156,conductor,M,23
2016-0157,conductor,M,23
2016-0160,conductor,M,29
2016-0161,peaton,M,50
2016-0162,peaton,M,38
2016-0163,conductor,M,23
2016-0164,conductor,M,29
2016-0165,ciclista,M,37
2016-0168,conductor,M,43
2016-0169,conductor,M,24
2016-0170,pasajero_acompañante,M,21
2016-0171,conductor,,
2016-0172,conductor,M,38
2016-0173,conductor,M,35
2016-0175,peaton,F,
2016-0176,conductor,M,28
2016-0177,peaton,F,27
2016-0178,peaton,F,7
2017-0001,conductor,M,18
2017-0003,pasajero_acompañante,M,33
2017-0007,peaton,M,48
2017-0008,conductor,M,29
2017-0009,conductor,M,36
2017-0010,conductor,M,23
2017-0011,pasajero_acompañante,F,29
2017-0012,conductor,M,30
2017-0013,peaton,M,4
2017-0014,pasajero_acompañante,F,22
2017-0015,peaton,M,82
2017-0016,conductor,M,27
2017-0017,conductor,M,32
2017-0018,conductor,M,30
2017-0021,conductor,M,43
2017-0024,peaton,M,39
2017-0026,pasajero_acompañante,F,23
